2023-02-12 14:17:48 DEBUG TelegramBot:25 - dfg
2023-02-12 14:18:21 DEBUG TelegramBot:25 - hghgi
2023-02-12 16:09:24 DEBUG TelegramBot:33 - f
2023-02-12 16:09:29 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:30 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:31 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:31 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:32 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:32 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:33 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:33 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:34 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:34 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:35 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:35 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:35 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:36 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:36 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:36 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:36 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:37 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:37 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:38 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:38 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:38 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:39 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:39 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:39 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:40 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:40 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:40 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:41 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:41 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:41 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:42 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:42 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:42 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:42 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:43 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:43 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:43 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:43 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:44 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:44 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:44 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:45 DEBUG TelegramBot:33 - Додати тренування
2023-02-12 16:09:45 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:45 DEBUG TelegramBot:33 - Мої тренування
2023-02-12 16:09:46 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:46 DEBUG TelegramBot:33 - Почати тренування
2023-02-12 16:09:46 DEBUG TelegramBot:33 - Додати тренування
